Country_Name,Country_Code,Time,Time_Code,GDP_growth_annual_percentage,wage_and_salaried_workers,Machinery_and_transport_equipment_percentage_of_value_added_in_manufacturing,Fertility_rate_total_births_per_woman,Immunization_HepB3_pertcentage_of_one_year_old_children
Israel,ISR,2003,YR2003,1.393912964,83.87955,21.08839987,2.95,98
Israel,ISR,2004,YR2004,4.784467426,84.53185,22.33897716,2.9,99
Israel,ISR,2005,YR2005,4.134076619,83.93269,21.16130788,2.84,96
Israel,ISR,2006,YR2006,5.582667959,84.15691,22.26712621,2.88,96
Israel,ISR,2007,YR2007,6.033213571,84.63598,23.2637683,2.9,99
Israel,ISR,2008,YR2008,3.251163361,84.26791,22.92167025,2.96,99
Israel,ISR,2009,YR2009,0.8831203936,83.78065,28.57435603,2.96,98
Israel,ISR,2010,YR2010,5.668515118,83.73392,24.8403184,3.03,97
Israel,ISR,2011,YR2011,5.561139076,84.19848,35.6090611,2.98,98
Israel,ISR,2012,YR2012,2.587653844,84.691,41.08083856,3.05,97
Israel,ISR,2013,YR2013,4.415501587,85.2336,39.13715944,3.03,97
Israel,ISR,2014,YR2014,3.919126893,85.28648,40.70786978,3.08,97
Israel,ISR,2015,YR2015,2.485826289,84.83578,37.9151768,3.09,96
Israel,ISR,2016,YR2016,4.521680309,84.66857,37.79761651,3.11,95
Israel,ISR,2017,YR2017,4.276595951,85.12535,38.55943311,3.11,97
Israel,ISR,2018,YR2018,4.070321887,85.17913,39.57874984,3.09,96
Israel,ISR,2019,YR2019,4.156137989,85.32476,45.59152547,3.01,96
Israel,ISR,2020,YR2020,-1.857289278,84.6265,45.59141102,2.9,96
Israel,ISR,2021,YR2021,8.611990348,84.75299,45.59141102,3.0,96
Israel,ISR,2022,YR2022,6.832886636,,,, 
Australia,AUS,2003,YR2003,3.090687182,75.72152,13.00866206,1.748,95
Australia,AUS,2004,YR2004,4.224321727,75.90189,13.65996161,1.768,95
Australia,AUS,2005,YR2005,3.154139257,76.04033,13.25283948,1.807,95
Australia,AUS,2006,YR2006,2.755298243,76.69189,13.51040041,1.908,95
Australia,AUS,2007,YR2007,3.773392681,77.5925,19.64317258,1.959,94
Australia,AUS,2008,YR2008,3.58622798,77.89503,19.14945118,1.984,94
Australia,AUS,2009,YR2009,1.892573609,77.4947,20.05196055,1.971,94
Australia,AUS,2010,YR2010,2.226538078,77.47296,19.11935701,1.928,92
Australia,AUS,2011,YR2011,2.40897178,78.22587,15.52086285,1.926,92
Australia,AUS,2012,YR2012,3.918409625,79.07857,16.81001089,1.92,91
Australia,AUS,2013,YR2013,2.606198447,79.30143,16.76051128,1.855,91
Australia,AUS,2014,YR2014,2.607401032,79.0098,15.95469858,1.826,91
Australia,AUS,2015,YR2015,2.201810153,79.13218,16.71255728,1.814,93
Australia,AUS,2016,YR2016,2.779142625,79.13035,18.92144884,1.752,94
Australia,AUS,2017,YR2017,2.318709387,79.24928,17.99717432,1.741,95
Australia,AUS,2018,YR2018,2.906363115,79.64239,18.08846836,1.74,95
Australia,AUS,2019,YR2019,2.181109106,79.70226,18.5147119,1.657,95
Australia,AUS,2020,YR2020,-0.3346863595,79.90088,19.03920744,1.581,95
Australia,AUS,2021,YR2021,2.111830889,79.9014,20.05289576,1.7,95
Australia,AUS,2022,YR2022,4.268946393,,,,
India,IND,2003,YR2003,7.860381476,17.37398,17.1444368,3.122,6
India,IND,2004,YR2004,7.922936613,17.38032,16.92019069,3.046,8
India,IND,2005,YR2005,7.923430621,17.41882,18.58105633,2.958,6
India,IND,2006,YR2006,8.060732572,17.50256,16.54970813,2.864,6
India,IND,2007,YR2007,7.660815066,17.61383,15.59109594,2.784,29
India,IND,2008,YR2008,3.08669806,17.71869,17.90563711,2.718,37
India,IND,2009,YR2009,7.861888832,17.81685,19.62208761,2.673,38
India,IND,2010,YR2010,8.497584702,17.95282,19.05178401,2.603,44
India,IND,2011,YR2011,5.241315002,18.97072,18.53544309,2.536,73
India,IND,2012,YR2012,5.456388753,20.01344,19.6451162,2.467,70
India,IND,2013,YR2013,6.386106401,20.73174,17.18759726,2.406,79
India,IND,2014,YR2014,7.410227601,21.47751,18.92663872,2.306,87
India,IND,2015,YR2015,7.99625379,22.26259,19.83579155,2.287,88
India,IND,2016,YR2016,8.256305499,23.10985,19.41785723,2.273,89
India,IND,2017,YR2017,6.795383423,22.93437,19.64453981,2.2,90
India,IND,2018,YR2018,6.453851341,23.52389,21.28881523,2.177,91
India,IND,2019,YR2019,3.871436939,24.57488,20.73567516,2.109,85
India,IND,2020,YR2020,-5.831053221,24.2719,20.73567576,2.051,85
India,IND,2021,YR2021,9.050277909,24.34358,20.73567576,2.031,93
India,IND,2022,YR2022,7.239693281,,,,
Japan,JPN,2003,YR2003,1.535125499,84.91241,35.97319247,1.29,99
Japan,JPN,2004,YR2004,2.186115694,84.88924,36.32458422,1.29,92
Japan,JPN,2005,YR2005,1.803900872,84.98438,37.20775206,1.26,96
Japan,JPN,2006,YR2006,1.372350128,85.64629,38.37536837,1.32,96
Japan,JPN,2007,YR2007,1.483969412,85.95885,39.19763599,1.34,95
Japan,JPN,2008,YR2008,-1.224289001,86.13737,39.24072672,1.37,96
Japan,JPN,2009,YR2009,-5.693236359,86.41882,35.28624702,1.37,96
Japan,JPN,2010,YR2010,4.097917919,87.15987,37.53614917,1.39,96
Japan,JPN,2011,YR2011,0.02380952377,87.38241,43.33726544,1.39,97
Japan,JPN,2012,YR2012,1.374750999,87.42798,38.14941445,1.41,96
Japan,JPN,2013,YR2013,2.005100177,87.62989,38.38835595,1.43,96
Japan,JPN,2014,YR2014,0.2962055141,87.68773,39.58436939,1.42,96
Japan,JPN,2015,YR2015,1.560626697,87.92428,46.01210537,1.45,96
Japan,JPN,2016,YR2016,0.7538267459,88.32729,45.20382316,1.44,96
Japan,JPN,2017,YR2017,1.675331752,88.40407,45.81059668,1.43,96
Japan,JPN,2018,YR2018,0.6433910235,88.46256,46.19173829,1.42,95
Japan,JPN,2019,YR2019,-0.4021692009,88.64343,44.57522876,1.36,93
Japan,JPN,2020,YR2020,-4.278603688,88.67396,44.57522965,1.33,93
Japan,JPN,2021,YR2021,2.142487369,88.86074,44.57522965,1.3,94
Japan,JPN,2022,YR2022,1.028624866,,,,
Italy,ITA,2003,YR2003,0.1386268908,68.33041,22.11703467,1.29,95
Italy,ITA,2004,YR2004,1.423594158,68.38143,22.13928815,1.34,94
Italy,ITA,2005,YR2005,0.8178489737,69.33043,22.42955866,1.34,94
Italy,ITA,2006,YR2006,1.790639681,69.67283,23.28403422,1.37,95
Italy,ITA,2007,YR2007,1.48707298,69.86215,23.16220677,1.4,
Italy,ITA,2008,YR2008,-0.9620128406,70.42211,24.3942599,1.45,
Italy,ITA,2009,YR2009,-5.280937208,70.6358,26.97096606,1.45,
Italy,ITA,2010,YR2010,1.713295839,70.09656,28.29592823,1.46,
Italy,ITA,2011,YR2011,0.707333347,70.26324,28.12432915,1.44,
Italy,ITA,2012,YR2012,-2.980905768,70.40995,28.94707132,1.43,
Italy,ITA,2013,YR2013,-1.841065451,70.44865,29.10973338,1.39,
Italy,ITA,2014,YR2014,-0.004547542364,70.82166,29.66831787,1.37,
Italy,ITA,2015,YR2015,0.7783043507,71.26913,29.5080289,1.35,
Italy,ITA,2016,YR2016,1.293462732,71.84585,29.58869698,1.34,
Italy,ITA,2017,YR2017,1.667859041,72.30607,30.30902529,1.32,
Italy,ITA,2018,YR2018,0.925810941,72.73367,29.89528281,1.29,
Italy,ITA,2019,YR2019,0.4831983166,73.12141,29.58513661,1.27,
Italy,ITA,2020,YR2020,-8.974192121,73.25736,29.28225406,1.24,
Italy,ITA,2021,YR2021,8.313760318,73.94969,29.282228,1.25,
Italy,ITA,2022,YR2022,3.724549463,,,,
